nmrFileName,peakid,researcher,username,instrument,organization,date
wyattam-20111201_p4b_10,,Morgan W,wyattam,NMR,Magarvey Lab,Thu Dec 01 00:00:00 EST 2011
wyattam-20111207-C403_545,,Morgan W,wyattam,NMR,Magarvey Lab,Thu Dec 08 00:00:00 EST 2011
wyattam-20111212_P4b_649,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Dec 13 00:00:00 EST 2011
wyattam-20111214_P4b_649,,Morgan W,wyattam,NMR,Magarvey Lab,Thu Dec 15 00:00:00 EST 2011
wyattam-20120102_CHO2_4_5_5,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Jan 03 00:00:00 EST 2012
wyattam-20120103_CHO2_4_5_5,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jan 04 00:00:00 EST 2012
wyattam-20120105_Cpin_01(649),,Morgan W,wyattam,NMR,Magarvey Lab,Fri Jan 06 00:00:00 EST 2012
wyattam-20120113_Cpin_7_68-70,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Jan 13 00:00:00 EST 2012
wyattam-20120118_ChO2_545,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jan 18 00:00:00 EST 2012
wyattam-20120130_Delft974.5,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Jan 30 00:00:00 EST 2012
wyattam-20120130_P4b_649,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Jan 30 00:00:00 EST 2012
wyattam-20120130_P4b_649_Carbon,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Feb 01 00:00:00 EST 2012
wyattam-20120202_P4b_649_13C,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Feb 03 00:00:00 EST 2012
wyattam-20120207_C455_3_A7,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Feb 08 00:00:00 EST 2012
wyattam-20120316_Nissle11,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Mar 16 00:00:00 EDT 2012
wyattam-20120319_Nissle10,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Mar 20 00:00:00 EDT 2012
wyattam-20120319_Nissle3,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Mar 21 00:00:00 EDT 2012
wyattam-20120319_Nissle3Real,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Mar 23 00:00:00 EDT 2012
wyattam-20120319_Nissle4,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Mar 19 00:00:00 EDT 2012
wyattam-20120319_Nissle_10,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Mar 19 00:00:00 EDT 2012
wyattam-20120319_Nissle_2,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Mar 19 00:00:00 EDT 2012
wyattam-20120319_Nissle_3,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Mar 19 00:00:00 EDT 2012
wyattam-20120319_Nissle_5,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Mar 20 00:00:00 EDT 2012
wyattam-20120319_Nissle_8,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Mar 21 00:00:00 EDT 2012
wyattam-20120319_Nissle_9,,Morgan W,wyattam,NMR,Magarvey Lab,Sat Mar 24 00:00:00 EDT 2012
wyattam-20120409_Nissle1012_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Apr 09 00:00:00 EDT 2012
wyattam-20120410_Nissle850_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Apr 10 00:00:00 EDT 2012
wyattam-20120410_Nissle_1012 2D,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Apr 13 00:00:00 EDT 2012
wyattam-20120410_Nissle_1012_proton,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Apr 10 00:00:00 EDT 2012
wyattam-20120410_Nissle_1016_proton,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Apr 10 00:00:00 EDT 2012
wyattam-20120413_1012HMBC,,Morgan W,wyattam,NMR,Magarvey Lab,Sat Apr 14 00:00:00 EDT 2012
wyattam-20120427_Nissle_33Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Apr 27 00:00:00 EDT 2012
wyattam-20120427_Nissle_33_2D,,Morgan W,wyattam,NMR,Magarvey Lab,Sat Apr 28 00:00:00 EDT 2012
wyattam-20120429_Nissle_33_2Dlong,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Apr 30 00:00:00 EDT 2012
wyattam-20120503_Nissle_27 Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Thu May 03 00:00:00 EDT 2012
wyattam-20120517_NissGluc_2_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Thu May 17 00:00:00 EDT 2012
wyattam-20120517_Nissle_543_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Thu May 17 00:00:00 EDT 2012
wyattam-20120524_NissGluc_543,,Morgan W,wyattam,NMR,Magarvey Lab,Thu May 24 00:00:00 EDT 2012
wyattam-20120524_NissGluc_582Prot2,,Morgan W,wyattam,NMR,Magarvey Lab,Thu May 24 00:00:00 EDT 2012
wyattam-20120524_NissGluc_582_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Thu May 24 00:00:00 EDT 2012
wyattam-20120530_Nissle_28_627,,Morgan W,wyattam,NMR,Magarvey Lab,Wed May 30 00:00:00 EDT 2012
wyattam-20120530_P4b_10,,Morgan W,wyattam,NMR,Magarvey Lab,Wed May 30 00:00:00 EDT 2012
wyattam-20120601_Nissle_325_2D,,Morgan W,wyattam,NMR,Magarvey Lab,Sat Jun 02 00:00:00 EDT 2012
wyattam-20120601_Nissle_325_COSY,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Jun 01 00:00:00 EDT 2012
wyattam-20120601_Nissle_325_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Jun 01 00:00:00 EDT 2012
wyattam-20120601_Nissle_647,,Morgan W,wyattam,NMR,Magarvey Lab,Sat Jun 02 00:00:00 EDT 2012
wyattam-20120601_Nissle_647_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Jun 01 00:00:00 EDT 2012
wyattam-20120603_Nissle647_HSQC,,Morgan W,wyattam,NMR,Magarvey Lab,Mon Jun 04 00:00:00 EDT 2012
wyattam-20120604_Nissle_325_2D,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jun 06 00:00:00 EDT 2012
wyattam-20120606_Nissle_937_2D,,Morgan W,wyattam,NMR,Magarvey Lab,Sat Jun 09 00:00:00 EDT 2012
wyattam-20120606_Nissle_937_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jun 06 00:00:00 EDT 2012
wyattam-20120613_CHO1_545_Proton,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jun 13 00:00:00 EDT 2012
wyattam-20120614_Cho1_545_New,,Morgan W,wyattam,NMR,Magarvey Lab,Thu Jun 14 00:00:00 EDT 2012
wyattam-20120615_Nissle_545_2D,,Morgan W,wyattam,NMR,Magarvey Lab,Sat Jun 16 00:00:00 EDT 2012
wyattam-20120615_Nissle_545_Clean,,Morgan W,wyattam,NMR,Magarvey Lab,Fri Jun 15 00:00:00 EDT 2012
wyattam-20120618_CHO1_545_HMBC,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Jun 19 00:00:00 EDT 2012
wyattam-20120711_P4b_1102,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Jul 11 00:00:00 EDT 2012
