nmrFileName,peakid,researcher,username,instrument,organization,date
Achromo690_HSQC-TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Apr 16 00:00:00 EDT 2015
Achromo690_NOESY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Apr 19 00:00:00 EDT 2015
Achromo690_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Apr 15 00:00:00 EDT 2015
Achromo690_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Apr 19 00:00:00 EDT 2015
AcylLegionellolCOSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Jul 03 00:00:00 EDT 2014
AcylLegionellolHMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Jun 30 00:00:00 EDT 2014
AcylLegionellolHSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Jun 30 00:00:00 EDT 2014
AcylLegionellolProton,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Jun 30 00:00:00 EDT 2014
Aryl1015_C13,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Oct 26 00:00:00 EDT 2014
Aryl1015_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Oct 25 00:00:00 EDT 2014
Aryl1015_HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Oct 25 00:00:00 EDT 2014
Aryl1015_HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Oct 26 00:00:00 EDT 2014
Aryl1015_HSQCTOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Oct 25 00:00:00 EDT 2014
Aryl1015_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Oct 24 00:00:00 EDT 2014
Aryl1015_ROESY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Oct 26 00:00:00 EDT 2014
Aryl1015_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Oct 28 00:00:00 EDT 2014
Arylomycin1001 COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Oct 14 00:00:00 EDT 2014
Arylomycin1001 DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Oct 19 00:00:00 EDT 2014
Arylomycin1001 HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Oct 19 00:00:00 EDT 2014
Arylomycin1001 HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Oct 16 00:00:00 EDT 2014
Arylomycin1001 Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Oct 14 00:00:00 EDT 2014
Arylomycin1001 ROESY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Oct 19 00:00:00 EDT 2014
Arylomycin1001 TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Oct 16 00:00:00 EDT 2014
Aurantizolicin_13C30K,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Mar 24 09:09:00 EDT 2016
Aurantizolicin_COSY128,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Mar 20 07:09:00 EDT 2016
Aurantizolicin_HMBC200,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Mar 28 01:39:00 EDT 2016
Aurantizolicin_HSQC75,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Mar 21 11:09:00 EDT 2016
Aurantizolicin_NOESY64,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Mar 20 17:39:00 EDT 2016
Aurantizolicin_NOESY93,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Apr 12 12:09:00 EDT 2016
Aurantizolicin_Proton1024,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Mar 18 18:39:00 EDT 2016
Aurantizolicin_Proton512,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Mar 17 17:09:00 EDT 2016
Aurantizolicin_Proton64,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Mar 17 16:09:00 EDT 2016
Aurantizolicin_Proton64_2,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Mar 18 16:39:00 EDT 2016
Aurantizolicin_ROESY102,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Apr 08 12:39:00 EDT 2016
Aurantizolicin_TOCSY128,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Mar 19 15:09:00 EDT 2016
ChitinoB_HSQC_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Oct 24 00:00:00 EDT 2014
ChitinoB_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Oct 23 00:00:00 EDT 2014
ChtB_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Nov 11 00:00:00 EST 2014
ChtProton,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Dec 08 00:00:00 EST 2014
ChtProtonDec,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Dec 16 00:00:00 EST 2014
DMSOAcylCOSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Jul 05 00:00:00 EDT 2014
DMSOAcylCOSYredo,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Jul 12 00:00:00 EDT 2014
DMSOAcylHMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Jul 04 00:00:00 EDT 2014
DMSOAcylHMBCredo,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Jul 12 00:00:00 EDT 2014
DMSOAcylHSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Jul 04 00:00:00 EDT 2014
DMSOAcylHSQCredo,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Jul 12 00:00:00 EDT 2014
DMSOAcylNOESY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Jul 30 00:00:00 EDT 2014
DMSOAcylProton,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Jul 03 00:00:00 EDT 2014
DMSOAcylProtonRedo,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Jul 11 00:00:00 EDT 2014
IconStart-20140516,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat May 17 00:00:00 EDT 2014
LIF09A COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Oct 15 00:00:00 EDT 2014
LIF09A Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Oct 14 00:00:00 EDT 2014
LIF09A Proton2,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Oct 15 00:00:00 EDT 2014
Potens304_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Feb 03 00:00:00 EST 2015
Potens304_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Feb 03 00:00:00 EST 2015
Potensibactin-13C,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Jun 29 00:00:00 EDT 2015
Potensibactin-1H,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Jun 29 00:00:00 EDT 2015
Potensibactin-COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Jun 30 00:00:00 EDT 2015
Potensibactin-DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Jul 06 00:00:00 EDT 2015
Potensibactin-HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Jul 02 00:00:00 EDT 2015
Potensibactin-HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Jun 30 00:00:00 EDT 2015
Potensimicin-C13,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Feb 24 00:00:00 EST 2015
Potensimicin-COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Feb 23 00:00:00 EST 2015
Potensimicin-HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Feb 23 00:00:00 EST 2015
Potensimicin-HSQC-TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Feb 26 00:00:00 EST 2015
Potensimicin-HSQCedsi,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Feb 24 00:00:00 EST 2015
Potensimicin-NHMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Mar 01 00:00:00 EST 2015
Potensimicin-NOESY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Feb 24 00:00:00 EST 2015
Potensimicin-Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Feb 22 00:00:00 EST 2015
Potensimicin-Proton2,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Feb 25 00:00:00 EST 2015
Potensimicin-ROESY,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Feb 27 00:00:00 EST 2015
Potensimicin-TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Feb 24 00:00:00 EST 2015
Telo1240COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Aug 16 00:00:00 EDT 2015
Telo1240HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Aug 21 00:00:00 EDT 2015
Telo1240Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Aug 16 00:00:00 EDT 2015
Telo1240TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Aug 16 00:00:00 EDT 2015
Telo125613C,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Aug 15 00:00:00 EDT 2015
Telo1256COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Aug 16 00:00:00 EDT 2015
Telo1256HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Aug 15 00:00:00 EDT 2015
Telo1256HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Aug 15 00:00:00 EDT 2015
Telo1256Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Aug 13 00:00:00 EDT 2015
Telo2-1-1256-COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Sep 23 00:00:00 EDT 2014
Telo2-1-1256-DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Sep 21 00:00:00 EDT 2014
Telo2-1-1256-HSQC-TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Sep 21 00:00:00 EDT 2014
Telo2-1-1256-Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Sep 19 00:00:00 EDT 2014
Telo2-2-1256L-COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Sep 24 00:00:00 EDT 2014
Telo2-2-1256L-DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Sep 21 00:00:00 EDT 2014
Telo2-2-1256L-HSQC-TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Sep 21 00:00:00 EDT 2014
Telo2-2-1256L-Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Sep 19 00:00:00 EDT 2014
Telo3-1-1240-COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Sep 24 00:00:00 EDT 2014
Telo3-1-1240-DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Sep 22 00:00:00 EDT 2014
Telo3-1-1240-HSQC-TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Sep 22 00:00:00 EDT 2014
Telo3-1-1240-Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Sep 19 00:00:00 EDT 2014
Telo3.14.1226.COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Oct 03 00:00:00 EDT 2014
Telo3.14.1226.Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Sep 30 00:00:00 EDT 2014
Telo3.14.1226.TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Oct 04 00:00:00 EDT 2014
Telo3.2.1258 - HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Oct 12 00:00:00 EDT 2014
Telo3.2.1258.COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Oct 08 00:00:00 EDT 2014
Telo3.2.1258.Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Sep 30 00:00:00 EDT 2014
Telo3.2.1258.TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Oct 09 00:00:00 EDT 2014
Telo3.3.1226.COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Oct 05 00:00:00 EDT 2014
Telo3.3.1226.Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Sep 30 00:00:00 EDT 2014
Telo3.3.1226.TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Oct 09 00:00:00 EDT 2014
Telo3.4.1226.COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Oct 07 00:00:00 EDT 2014
Telo3.4.1226.Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Sep 30 00:00:00 EDT 2014
Telo3.4.1226.TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Oct 07 00:00:00 EDT 2014
Telo3.4.1242 - HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Oct 12 00:00:00 EDT 2014
Telo4-12-1224-DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Sep 20 00:00:00 EDT 2014
Telo4-12-1224-HSQC-TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Sep 26 00:00:00 EDT 2014
Telo4-12-1224-Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Sep 19 00:00:00 EDT 2014
Telo4-12-1224-TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Sep 27 00:00:00 EDT 2014
Telo4-8-1224-COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Sep 25 00:00:00 EDT 2014
Telo4-8-1224-DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Sep 20 00:00:00 EDT 2014
Telo4-8-1224-HSQC-TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Sep 20 00:00:00 EDT 2014
Telo4-8-1224-Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Sep 19 00:00:00 EDT 2014
Telo4-8-1224-TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Sep 26 00:00:00 EDT 2014
Telo_2_1_1256_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Aug 25 00:00:00 EDT 2015
Telo_2_1_1256_HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Aug 31 00:00:00 EDT 2015
